"codeinsee";"codebcsi";"typedoc";"codeepci";"dateapprobation";"datelancement";"codeetat1";"codedepartement";"coderegion";"anneeenquete";"pluis";"plui";"codecollectivite";"typelastproc";"codeavertissement";"datelastproc";"datedump";"idproc";"idlastproc"
"91001";"1199";"CC";"COM";"2019-02-21 23:00:00+00:00";"2014-12-02 23:00:00+00:00";"19";"91";"11";"2021";"NON";"NON";"91001";"";"";"";"2021-10-06";"144570";""
"91016";"3199";"PLU";"COM";"2018-09-10 22:00:00+00:00";"2015-06-23 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91016";"";"";"";"2021-10-06";"144571";""
"91017";"3199";"PLU";"COM";"2020-02-03 23:00:00+00:00";"2018-12-18 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91017";"";"";"";"2021-10-06";"167578";""
"91021";"3199";"PLU";"COM";"2019-09-24 22:00:00+00:00";"2014-04-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91021";"";"";"";"2021-10-06";"134798";""
"91022";"1199";"CC";"COM";"2020-08-19 22:00:00+00:00";"2017-11-13 23:00:00+00:00";"19";"91";"11";"2021";"NON";"NON";"91022";"";"";"";"2021-10-06";"160722";""
"91027";"3432";"PLU";"EPT";"2018-06-25 22:00:00+00:00";"2014-09-23 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91027";"";"";"";"2021-10-06";"134799";""
"91037";"3199";"PLU";"COM";"2018-06-15 22:00:00+00:00";"2015-09-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91037";"";"";"";"2021-10-06";"144362";""
"91038";"3199";"PLU";"COM";"2012-12-14 23:00:00+00:00";"2007-04-02 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91038";"";"";"";"2021-10-06";"63600";""
"91041";"3131";"PLU";"COM";"2007-11-27 23:00:00+00:00";"1992-03-06 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91041";"";"";"";"2021-10-06";"55614";""
"91044";"3199";"PLU";"COM";"2019-06-26 22:00:00+00:00";"2016-09-21 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91044";"";"";"";"2021-10-06";"151282";""
"91045";"3131";"PLU";"COM";"2012-03-07 23:00:00+00:00";"2008-10-13 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91045";"";"";"";"2021-10-06";"64293";""
"91047";"3131";"PLU";"COM";"2016-06-13 22:00:00+00:00";"2011-06-16 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91047";"";"";"";"2021-10-06";"90338";""
"91064";"3199";"PLU";"COM";"2019-10-14 22:00:00+00:00";"2016-02-15 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91064";"";"";"";"2021-10-06";"148489";""
"91067";"3199";"PLU";"COM";"2020-11-04 23:00:00+00:00";"2015-11-12 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91067";"";"";"";"2021-10-06";"144584";""
